"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-18 07:36:50,0.300,0.500
2023-07-18 07:37:00,0.200,0.200
2023-07-18 07:37:10,0.500,0.500
2023-07-18 07:37:20,0.300,0.300
2023-07-18 07:37:30,0.100,0.100
2023-07-18 07:37:40,0.200,0.200
2023-07-18 07:37:50,0.600,0.600
2023-07-18 07:38:00,0.600,0.700
2023-07-18 07:38:10,0.400,0.400
2023-07-18 07:38:20,0.200,0.200
2023-07-18 07:38:30,0.300,0.300
2023-07-18 07:38:40,0.800,0.800
2023-07-18 07:38:50,0.300,0.300
2023-07-18 07:39:00,0.400,0.400
2023-07-18 07:39:10,0.400,0.400
2023-07-18 07:39:20,0.300,0.300
2023-07-18 07:39:30,0.500,0.500
2023-07-18 07:39:40,0.700,0.700
2023-07-18 07:39:50,0.300,0.300
2023-07-18 07:40:00,0.300,0.300
2023-07-18 07:40:10,0.700,0.700
2023-07-18 07:40:20,0.600,0.600
2023-07-18 07:40:30,0.700,0.700
2023-07-18 07:40:40,0.600,0.600
2023-07-18 07:40:50,0.300,0.300
2023-07-18 07:41:00,0.400,0.400
2023-07-18 07:41:10,0.200,0.200
2023-07-18 07:41:20,0.600,0.600
2023-07-18 07:41:30,0.800,0.800
2023-07-18 07:41:40,0.300,0.300
2023-07-18 07:41:50,0.500,0.500
2023-07-18 07:42:00,0.300,0.300
2023-07-18 07:42:10,0.200,0.200
2023-07-18 07:42:20,0.600,0.600
2023-07-18 07:42:30,0.300,0.300
2023-07-18 07:42:40,0.500,0.600
2023-07-18 07:42:50,0.300,0.300
2023-07-18 07:43:00,0.500,0.600
2023-07-18 07:43:10,0.500,0.800
2023-07-18 07:43:20,0.200,0.200
2023-07-18 07:43:30,0.200,0.300
2023-07-18 07:43:40,0.400,0.500
2023-07-18 07:43:50,0.600,0.700
2023-07-18 07:44:00,0.200,0.200
2023-07-18 07:44:10,0.500,0.500
2023-07-18 07:44:20,0.500,0.500
2023-07-18 07:44:30,0.400,0.400
2023-07-18 07:44:40,0.300,0.300
2023-07-18 07:44:50,0,0.500
2023-07-18 07:45:00,0.300,0.300
2023-07-18 07:45:10,0.400,0.400
2023-07-18 07:45:20,0.800,0.800
2023-07-18 07:45:30,0.300,0.300
2023-07-18 07:45:40,0.500,0.500
2023-07-18 07:45:50,0.600,0.600
2023-07-18 07:46:00,0.800,0.800
2023-07-18 07:46:10,0.200,0.200
2023-07-18 07:46:20,0.500,0.500
2023-07-18 07:46:30,0.300,0.300
2023-07-18 07:46:40,0.500,0.500
2023-07-18 07:46:50,0.700,0.700
2023-07-18 07:47:00,0.500,0.500
2023-07-18 07:47:10,0.300,0.300
2023-07-18 07:47:20,0.300,0.300
2023-07-18 07:47:30,0.400,0.400
2023-07-18 07:47:40,0.700,0.700
2023-07-18 07:47:50,0.500,0.500
2023-07-18 07:48:00,0.300,0.300
2023-07-18 07:48:10,0.400,0.400
2023-07-18 07:48:20,0.300,0.300
2023-07-18 07:48:30,0.200,0.200
2023-07-18 07:48:40,0.500,0.500
2023-07-18 07:48:50,0.700,0.800
2023-07-18 07:49:00,0.600,0.700
2023-07-18 07:49:10,0.300,0.300
2023-07-18 07:49:20,0.400,0.400
2023-07-18 07:49:30,0.300,0.600
2023-07-18 07:49:40,0.200,0.400
2023-07-18 07:49:50,0.400,0.400
2023-07-18 07:50:00,0.600,0.600
2023-07-18 07:50:10,0.300,0.300
2023-07-18 07:50:20,0.400,0.500
2023-07-18 07:50:30,0.400,0.400
2023-07-18 07:50:40,0.200,0.200
2023-07-18 07:50:50,0.100,0.100
2023-07-18 07:51:00,0.300,0.300
2023-07-18 07:51:10,0.100,0.200
2023-07-18 07:51:20,0.400,0.400
2023-07-18 07:51:30,0.600,0.700
2023-07-18 07:51:40,0.700,0.800
2023-07-18 07:51:50,0.600,0.700
2023-07-18 07:52:00,0.600,0.700
2023-07-18 07:52:10,0.900,0.900
2023-07-18 07:52:20,0.700,0.700
2023-07-18 07:52:30,0.600,0.600
2023-07-18 07:52:40,1,1
2023-07-18 07:52:50,0.200,0.200
2023-07-18 07:53:00,0.600,0.600
2023-07-18 07:53:10,0.600,0.600
2023-07-18 07:53:20,0.500,0.500
2023-07-18 07:53:30,0.400,0.400
2023-07-18 07:53:40,0.500,0.500
2023-07-18 07:53:50,0.600,0.600
2023-07-18 07:54:00,0.800,0.800
2023-07-18 07:54:10,0.500,0.500
